Community Area,ZIP CODE,Comunity Name
01,60626,Rogers Park
01,60645,Rogers Park
01,60660,Rogers Park
02,60626,West Ridge
02,60645,West Ridge
02,60659,West Ridge
02,60660,West Ridge
03,60613,Uptown
03,60640,Uptown
04,60618,Lincoln Square
04,60625,Lincoln Square
04,60640,Lincoln Square
04,60659,Lincoln Square
04,60660,Lincoln Square
05,60613,North Center
05,60614,North Center
05,60618,North Center
05,60657,North Center
06,60613,Lakeview
06,60614,Lakeview
06,60657,Lakeview
07,60610,Lincoln Park
07,60614,Lincoln Park
07,60642,Lincoln Park
07,60647,Lincoln Park
07,60657,Lincoln Park
08,60610,Near North Side
08,60611,Near North Side
08,60642,Near North Side
08,60654,Near North Side
09,60068,Edison Park
09,60631,Edison Park
10,60630,Norwood Park
10,60631,Norwood Park
10,60646,Norwood Park
10,60656,Norwood Park
11,60630,Jefferson Park
11,60646,Jefferson Park
12,60630,Forest Glen
12,60646,Forest Glen
12,60659,Forest Glen
12,60714,Forest Glen
13,60625,North Park
13,60630,North Park
13,60646,North Park
13,60659,North Park
14,60618,Albany Park
14,60625,Albany Park
14,60630,Albany Park
14,60641,Albany Park
15,60630,Portage Park
15,60634,Portage Park
15,60641,Portage Park
15,60706,Portage Park
16,60618,Irving Park
16,60630,Irving Park
16,60641,Irving Park
17,60634,Dunning
17,60707,Dunning
18,60634,Montclare
18,60707,Montclare
19,60634,Belmont Cragin
19,60639,Belmont Cragin
19,60641,Belmont Cragin
19,60707,Belmont Cragin
20,60639,Hermosa
20,60641,Hermosa
20,60647,Hermosa
21,60618,Avondale
21,60639,Avondale
21,60641,Avondale
21,60647,Avondale
22,60614,Logan Square
22,60618,Logan Square
22,60622,Logan Square
22,60639,Logan Square
22,60642,Logan Square
22,60647,Logan Square
23,60612,Humboldt Park
23,60622,Humboldt Park
23,60624,Humboldt Park
23,60639,Humboldt Park
23,60647,Humboldt Park
23,60651,Humboldt Park
24,60610,West Town
24,60612,West Town
24,60622,West Town
24,60642,West Town
24,60647,West Town
24,60651,West Town
24,60654,West Town
24,60661,West Town
25,60624,Austin
25,60639,Austin
25,60644,Austin
25,60651,Austin
25,60707,Austin
25,60804,Austin
26,60624,West Garfield Park
27,60612,East Garfield Park
27,60624,East Garfield Park
28,60606,Near West Side
28,60607,Near West Side
28,60608,Near West Side
28,60612,Near West Side
28,60616,Near West Side
28,60654,Near West Side
28,60661,Near West Side
29,60608,North Lawndale
29,60612,North Lawndale
29,60623,North Lawndale
29,60624,North Lawndale
30,60608,South Lawndale
30,60623,South Lawndale
30,60632,South Lawndale
31,60608,Lower West Side
31,60616,Lower West Side
32,60601,Loop
32,60601,Loop
32,60602,Loop
32,60602,Loop
32,60603,Loop
32,60603,Loop
32,60604,Loop
32,60604,Loop
32,60605,Loop
32,60605,Loop
32,60606,Loop
32,60606,Loop
32,60607,Loop
32,60607,Loop
32,60654,Loop
32,60654,Loop
33,60605,Near South Side
33,60616,Near South Side
34,60609,Armour Square
34,60616,Armour Square
35,60609,Douglas
35,60616,Douglas
35,60653,Douglas
36,60653,Oakland
37,60609,Fuller Park
38,60609,Grand Boulevard
38,60615,Grand Boulevard
38,60653,Grand Boulevard
39,60615,Kenwood
39,60653,Kenwood
40,60609,Washington Park
40,60615,Washington Park
40,60621,Washington Park
40,60637,Washington Park
41,60615,Hyde Park
41,60637,Hyde Park
42,60637,Woodlawn
42,60649,Woodlawn
43,60619,South Shore
43,60637,South Shore
43,60649,South Shore
44,60619,Chatham
44,60620,Chatham
45,60617,Avalon Park
45,60619,Avalon Park
46,60617,South Chicago
46,60649,South Chicago
47,60619,Burnside
48,60617,Calumet Heights
48,60619,Calumet Heights
49,60619,Roseland
49,60620,Roseland
49,60628,Roseland
50,60619,Pullman
50,60628,Pullman
50,60633,Pullman
51,60617,South Deering
51,60633,South Deering
52,60617,East Side
53,60628,West Pullman
53,60643,West Pullman
53,60827,West Pullman
54,60628,Riverdale
54,60827,Riverdale
55,60617,Hegewisch
55,60633,Hegewisch
56,60629,Garfield Ridge
56,60632,Garfield Ridge
56,60638,Garfield Ridge
56,60804,Garfield Ridge
57,60632,Archer Heights
58,60609,Brighton Park
58,60632,Brighton Park
59,60608,McKinley Park
59,60609,McKinley Park
59,60632,McKinley Park
60,60608,Bridgeport
60,60609,Bridgeport
60,60616,Bridgeport
61,60609,New City
62,60629,West Elsdon
62,60632,West Elsdon
63,60609,Gage Park
63,60629,Gage Park
63,60632,Gage Park
63,60636,Gage Park
64,60629,Clearing
64,60638,Clearing
65,60629,West Lawn
65,60652,West Lawn
66,60629,Chicago Lawn
66,60636,Chicago Lawn
67,60636,West Englewood
68,60620,Englewood
68,60621,Englewood
68,60636,Englewood
69,60619,Greater Grand Crossing
69,60620,Greater Grand Crossing
69,60621,Greater Grand Crossing
69,60637,Greater Grand Crossing
70,60620,Ashburn
70,60629,Ashburn
70,60652,Ashburn
71,60620,Auburn Gresham
72,60620,Beverly
72,60643,Beverly
72,60655,Beverly
73,60620,Washington Heights
73,60628,Washington Heights
73,60643,Washington Heights
74,60655,Mount Greenwood
75,60628,Morgan Park
75,60643,Morgan Park
75,60655,Morgan Park
76,60007,O'Hare
76,60018,O'Hare
76,60106,O'Hare
76,60131,O'Hare
76,60176,O'Hare
76,60631,O'Hare
76,60634,O'Hare
76,60656,O'Hare
76,60706,O'Hare
77,60640,Edgewater
77,60660,Edgewater
